Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_2998TR,1,2998TR,
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,AT-0927-TT-6-R
"C1, C3, C5",0603,3,0.1uF,
"C10, C6",0603,2,10uF,
C2,0603,1,220nF,
"C4, C7, C8",0603,3,100nF,
C9,0603,1,1uF,
"D1, D2, D3",0603,3,LED,
"D10, D7, D8, D9",0603,4,ESD9B5.0ST5G,
"J1, J3",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
J12,SAMTEC_ESQ-113-14-G-D,1,ESQ-113-14-G-D,
"J14, J5",S3BPHKSGW,2,S3B-PH-K-S-GW,
"J2, J4",SMA_Amphenol_132134-10_Vertical,2,Conn_Coaxial,132134
J7,S4B-PH-K-S_LF__SN_,1,S4B-PH-K-S_LF__SN_,
"R1, R2",0603,2,4.7k,
"R10, R11, R9",0603,3,500,
R15,0603,1,0,
S1,SW_EG1218,1,EG1218,
"TP1_2, TP19, TP20, TP21, TP22, TP3, TP4",PinHeader_1x01_P2.54mm_Vertical,7,TestPoint,
"TP1, TP2",PinSocket_1x01_P2.54mm_Vertical,2,TestPoint,
U1,ublox_MAX,1,MAX-M10S,MAX-M10S-00B
U2,PQFN50P200X200X70-12N,1,LIS2MDLTR,
U3,PQFN50P450X300X100-16N,1,BMI088,BMI088
U4,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,MS560702BA03-50
U7,Teensy41,1,Teensy4.1,
U8,XDCR_LSM6DSO32TR,1,LSM6DSO32TR,
U9,MODULE_RFM96W-433S2,1,RFM96W-433S2,
