Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BK-18650-PC6,1,BK-18650-PC6,
"C21, C22, C4, C40",0603,4,10uf,
"C23, C41",0603,2,10nf,
"C24, C46",0603,2,100nF,
"C28, C48",0603,2,2.7nf,
"C29, C30, C49, C50",0603,4,22 uf,
"C31, C51",0603,2,22uf,
"C32, C33, C34, C35",0603,4,220nf,
"C42, C43",0603,2,1uF,
IC1,NCP718_SOT95P280X100-5N,1,NCP718ASNADJT1G,
"J1, J2",TE_282837-2,2,282837-2,
J3,SAMTEC_ESQ-113-12-G-D,1,ESQ-113-12-G-D,
J4,AMASS_XT60-M,1,XT60-M,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"L1, L3",CSAB0730-4R7M,2,CSAB0730-4R7M,
L2,CSAB0730-3R3M,1,CSAB0730-3R3M,
Q3,SI7232DNT1GE3,1,SI7232DN-T1-GE3,
"R18, R4",0603,2,10.5k,
R19,0603,1,52.3k,
"R20, R23, R31, R35, R36, R38, R42, R43, R44, R47, R49, R51",0603,12,10k,
"R21, R24, R25, R26, R28, R29, R32, R34",0603,8,5k,
"R27, R33",0603,2,1k,
R39,0603,1,65k,
"R40, R41",0603,2,20k,
R54,0603,1,19k,
R55,0603,1,6k,
"TP1, TP2, TP3, TP4, TP9",TestPoint_Pad_D2.0mm,5,TestPoint,
U11,S2P-VH_JST,1,S2P-VH,
"U4, U9",SO-8EP_DIO-L,2,AP64501QSP-13,
"U5, U6",IC_TPS1HC30BQPWPRQ1,2,TPS1HC30BQPWPRQ1,
