Designator,Mid X,Mid Y,Rotation,Layer
BT1,78.745,-100.0,180.0,bottom
C1,85.25,-93.0,180.0,top
C2,85.25,-87.0,180.0,top
C21,82.0,-126.5,90.0,top
C22,85.25,-126.5,90.0,top
C23,83.75,-131.5,0.0,top
C24,91.0,-121.25,0.0,top
C28,95.25,-131.5,0.0,top
C29,110.0,-126.25,270.0,top
C3,85.25,-81.5,180.0,top
C30,106.75,-126.25,270.0,top
C31,103.5,-126.2625,270.0,top
C32,71.5375,-83.5,0.0,top
C33,56.0375,-93.25,0.0,top
C34,70.5,-121.5,180.0,top
C35,56.0,-131.75,0.0,top
C37,94.75,-77.0,90.0,top
C38,91.25,-77.0,90.0,top
C40,71.75,-77.5,180.0,top
C41,76.5,-71.75,270.0,top
C42,47.7625,-72.81,270.0,top
C43,52.7625,-68.81,180.0,top
IC1,52.7875,-73.0,0.0,top
J1,137.8,-130.25,90.0,top
J2,138.5,-118.75,90.0,top
J3,124.73,-90.24,90.0,top
J4,139.25,-103.6,90.0,top
J6,137.495,-66.0,90.0,top
L3,98.25,-122.25,180.0,top
Q1,94.75,-94.5,90.0,top
Q2,103.75,-94.5,90.0,top
Q3,125.3725,-115.6,180.0,top
Q5,125.3725,-125.2,180.0,top
R1,85.25,-90.0,0.0,top
R15,104.75,-86.0,270.0,top
R16,103.75,-90.0,180.0,top
R17,90.1375,-89.9625,0.0,top
R18,90.5,-131.5,0.0,top
R19,100.0,-126.25,270.0,top
R2,85.25,-84.25,0.0,top
R20,100.0,-130.75,90.0,top
R21,62.25,-82.0,270.0,top
R23,71.25,-93.25,0.0,top
R24,60.5375,-93.25,180.0,top
R25,60.5375,-86.75,180.0,top
R26,59.25,-82.0,90.0,top
R27,67.0375,-93.25,180.0,top
R28,62.25,-121.25,270.0,top
R29,59.0,-121.25,90.0,top
R3,85.25,-78.5,0.0,top
R31,70.25,-131.75,0.0,top
R32,60.75,-125.25,180.0,top
R33,65.75,-131.75,180.0,top
R34,60.75,-131.75,180.0,top
R35,121.035,-115.6,90.0,top
R36,120.9725,-125.2,90.0,top
R38,67.0375,-83.5,180.0,top
R39,71.5,-66.75,180.0,top
R40,129.3725,-126.2,90.0,top
R41,129.5725,-116.6,90.0,top
R42,125.1725,-129.4,180.0,top
R43,125.1725,-120.0,180.0,top
R45,76.5,-67.75,270.0,top
R47,55.75,-85.75,90.0,top
R49,66.25,-121.5,180.0,top
R5,85.25,-76.0,180.0,top
R51,56.0,-125.25,90.0,top
R54,57.7625,-72.81,90.0,top
R55,56.7625,-76.31,0.0,top
R6,101.75,-86.0,90.0,top
R67,94.75,-90.0,180.0,top
R7,99.25,-90.0,180.0,top
R8,101.75,-81.5,270.0,top
RT1,91.98,-66.5,90.0,top
U1,94.0,-84.0,0.0,top
U11,132.154901,-89.145099,90.0,top
U4,91.0,-126.5,0.0,top
U5,69.25,-88.0,0.0,top
U6,68.25,-126.5,0.0,top
U9,67.25,-72.0,90.0,top
